MSTI_VAR,MSTI Variables,COU,Country,YEAR,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),NLD,Netherlands,2017,2017,NBR,Number,0,Units,,,481.9193,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),NLD,Netherlands,2018,2018,NBR,Number,0,Units,,,463.9823,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),NLD,Netherlands,2019,2019,NBR,Number,0,Units,,,511.0361,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),NLD,Netherlands,2020,2020,NBR,Number,0,Units,,,519.3942,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),NZL,New Zealand,2015,2015,NBR,Number,0,Units,,,35.3583,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),NZL,New Zealand,2016,2016,NBR,Number,0,Units,,,31.05,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),NZL,New Zealand,2017,2017,NBR,Number,0,Units,,,32.05,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),NZL,New Zealand,2018,2018,NBR,Number,0,Units,,,27.2576,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),NZL,New Zealand,2019,2019,NBR,Number,0,Units,,,30.1429,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),NZL,New Zealand,2020,2020,NBR,Number,0,Units,,,84.15,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),NOR,Norway,2015,2015,NBR,Number,0,Units,,,71.0422,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),NOR,Norway,2016,2016,NBR,Number,0,Units,,,71.9857,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),NOR,Norway,2017,2017,NBR,Number,0,Units,,,95.1833,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),NOR,Norway,2018,2018,NBR,Number,0,Units,,,119.1024,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),NOR,Norway,2019,2019,NBR,Number,0,Units,,,75.3095,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),NOR,Norway,2020,2020,NBR,Number,0,Units,,,77.0459,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),POL,Poland,2015,2015,NBR,Number,0,Units,,,102.6564,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),POL,Poland,2016,2016,NBR,Number,0,Units,,,78.6302,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),POL,Poland,2017,2017,NBR,Number,0,Units,,,64.7207,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),POL,Poland,2018,2018,NBR,Number,0,Units,,,71.4595,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),POL,Poland,2019,2019,NBR,Number,0,Units,,,79.9163,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),POL,Poland,2020,2020,NBR,Number,0,Units,,,105.3978,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),PRT,Portugal,2015,2015,NBR,Number,0,Units,,,33.1741,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),PRT,Portugal,2016,2016,NBR,Number,0,Units,,,37.8619,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),PRT,Portugal,2017,2017,NBR,Number,0,Units,,,31.0667,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),PRT,Portugal,2018,2018,NBR,Number,0,Units,,,35.2417,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),PRT,Portugal,2019,2019,NBR,Number,0,Units,,,41.7571,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),PRT,Portugal,2020,2020,NBR,Number,0,Units,,,40.5667,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),SVK,Slovak Republic,2015,2015,NBR,Number,0,Units,,,13.3667,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),SVK,Slovak Republic,2016,2016,NBR,Number,0,Units,,,9.2083,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),SVK,Slovak Republic,2017,2017,NBR,Number,0,Units,,,3.1458,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),SVK,Slovak Republic,2018,2018,NBR,Number,0,Units,,,7.5667,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),SVK,Slovak Republic,2019,2019,NBR,Number,0,Units,,,7.9167,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),SVK,Slovak Republic,2020,2020,NBR,Number,0,Units,,,5.7262,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),ESP,Spain,2015,2015,NBR,Number,0,Units,,,174.48,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),ESP,Spain,2016,2016,NBR,Number,0,Units,,,200.9114,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),ESP,Spain,2017,2017,NBR,Number,0,Units,,,177.7024,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),ESP,Spain,2018,2018,NBR,Number,0,Units,,,220.0535,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),ESP,Spain,2019,2019,NBR,Number,0,Units,,,248.9965,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),ESP,Spain,2020,2020,NBR,Number,0,Units,,,276.3741,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),SWE,Sweden,2015,2015,NBR,Number,0,Units,,,1385.8426,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),SWE,Sweden,2016,2016,NBR,Number,0,Units,,,1410.6193,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),SWE,Sweden,2017,2017,NBR,Number,0,Units,,,1482.8061,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),SWE,Sweden,2018,2018,NBR,Number,0,Units,,,1458.1756,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),SWE,Sweden,2019,2019,NBR,Number,0,Units,,,1527.6512,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),SWE,Sweden,2020,2020,NBR,Number,0,Units,,,1439.1329,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),CHE,Switzerland,2015,2015,NBR,Number,0,Units,,,261.4358,,
P_ICTPCT,Number of  patents in the ICT sector - applications filed under the PCT (priority year),CHE,Switzerland,2016,2016,NBR,Number,0,Units,,,335.5766,,
